,round,player_name,team_name,opponent_team_name,was_home,total_points
9,9,Sören Rieks,Malmö FF,IFK Norrköping,False,1
10,10,Sören Rieks,Malmö FF,IK Sirius,True,8
11,11,Sören Rieks,Malmö FF,Degerfors IF,False,1
12,12,Sören Rieks,Malmö FF,Mjällby AIF,False,1
13,14,Sören Rieks,Malmö FF,Halmstads BK,False,1
14,15,Sören Rieks,Malmö FF,IFK Göteborg,True,1
15,16,Sören Rieks,Malmö FF,Degerfors IF,True,0
0,1,Oscar Lewicki,Malmö FF,Hammarby,True,0
1,2,Oscar Lewicki,Malmö FF,BK Häcken,False,0
2,3,Oscar Lewicki,Malmö FF,Östersunds FK,True,0
3,4,Oscar Lewicki,Malmö FF,Djurgården,False,0
4,5,Oscar Lewicki,Malmö FF,Varbergs BoIS,True,0
5,6,Oscar Lewicki,Malmö FF,AIK,False,0
6,7,Oscar Lewicki,Malmö FF,Kalmar FF,True,0
7,7,Oscar Lewicki,Malmö FF,IF Elfsborg,True,0
8,8,Oscar Lewicki,Malmö FF,Örebro SK,False,0
9,9,Oscar Lewicki,Malmö FF,IFK Norrköping,False,1
10,10,Oscar Lewicki,Malmö FF,IK Sirius,True,3
11,11,Oscar Lewicki,Malmö FF,Degerfors IF,False,4
12,12,Oscar Lewicki,Malmö FF,Mjällby AIF,False,3
13,14,Oscar Lewicki,Malmö FF,Halmstads BK,False,1
14,15,Oscar Lewicki,Malmö FF,IFK Göteborg,True,0
15,16,Oscar Lewicki,Malmö FF,Degerfors IF,True,1
0,1,Erdal Rakip,Malmö FF,Hammarby,True,0
1,2,Erdal Rakip,Malmö FF,BK Häcken,False,2
2,3,Erdal Rakip,Malmö FF,Östersunds FK,True,0
3,4,Erdal Rakip,Malmö FF,Djurgården,False,2
4,5,Erdal Rakip,Malmö FF,Varbergs BoIS,True,2
5,6,Erdal Rakip,Malmö FF,AIK,False,1
6,7,Erdal Rakip,Malmö FF,Kalmar FF,True,6
7,7,Erdal Rakip,Malmö FF,IF Elfsborg,True,3
8,8,Erdal Rakip,Malmö FF,Örebro SK,False,7
9,9,Erdal Rakip,Malmö FF,IFK Norrköping,False,8
10,10,Erdal Rakip,Malmö FF,IK Sirius,True,1
11,11,Erdal Rakip,Malmö FF,Degerfors IF,False,0
12,12,Erdal Rakip,Malmö FF,Mjällby AIF,False,0
